,Unnamed: 0,release,Title,genre,Language,Cast,Ratings,release_year
0,0,03-02-2023,Creed III,"Drama, Action",English,"['Michael B. Jordan', 'Tessa Thompson', 'Jonathan Majors', 'Wood Harris', 'Phylicia Rashād', 'Mila Davis-Kent', 'Florian Munteanu', 'José Benavidez Jr.', 'Selenis Leyva']",7.3,2023
1,1,12/15/2022 ,Avatar: The Way of Water,"Sci-Fi, Adventure, Action",English,"['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver', 'Stephen Lang', 'Kate Winslet', 'Cliff Curtis', 'Joel David Moore', 'CCH Pounder', 'Edie Falco']",7.8,2022
2,2,04-05-2023,The Super Mario Bros. Movie,"Animation, Adventure, Family, Fantasy, Comedy",English,"['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Keegan-Michael Key', 'Seth Rogen', 'Fred Armisen', 'Kevin Michael Richardson', 'Sebastian Maniscalco']",7.6,2023
3,3,01-05-2023,Mummies,"Animation, Comedy, Family, Adventure, Fantasy",Spanish,"['Óscar Barberán', 'Ana Esther Alborg', 'Luis Pérez Reina', 'María Luisa Solá', 'Jaume Solà', 'José Luis Mediavilla', 'José Javier Serrano Rodríguez', 'Aleix Estadella', 'María Moscardó']",7.0,2023
4,4,03/17/2023 ,Supercell,Action,English,"['Skeet Ulrich', 'Anne Heche', 'Daniel Diemer', 'Jordan Kristine Seamón', 'Alec Baldwin', 'Richard Gunn', 'Praya Lundberg', 'Johnny Wactor', 'Anjul Nigam']",6.1,2023
5,5,02/23/2023 ,Cocaine Bear,"Thriller, Comedy, Crime",English,"['Keri Russell', 'Alden Ehrenreich', '""OShea Jackson Jr.""', 'Ray Liotta', 'Kristofer Hivju', 'Margo Martindale', 'Christian Convery', 'Isiah Whitlock Jr.', 'Jesse Tyler Ferguson']",6.6,2023
6,6,03/23/2023 ,John Wick: Chapter 4,"Action, Thriller, Crime",English,"['Keanu Reeves', 'Donnie Yen', 'Bill Skarsgård', 'Ian McShane', 'Laurence Fishburne', 'Lance Reddick', 'Clancy Brown', 'Hiroyuki Sanada', 'Shamier Anderson']",8.0,2023
7,7,12/26/2022 ,Puss in Boots: The Last Wish,"Animation, Family, Fantasy, Adventure, Comedy",English,"['Antonio Banderas', 'Salma Hayek', 'Harvey Guillén', 'Wagner Moura', 'Florence Pugh', 'Olivia Colman', 'Ray Winstone', 'Samson Kayo', 'John Mulaney']",8.3,2022
8,8,09/30/2022 ,Attack on Titan,"Action, Sci-Fi",English,"['Paul Bianchi', 'Erin Coker', 'Jack Pearson', 'Anthony Jensen', 'Neli Sabour', 'Karan Sagoo', 'Natalie Storrs', 'Justin Tanks', 'Jenny Tran']",5.9,2022
9,9,03-02-2023,The Park,"Action, Drama, Horror, Sci-Fi, Thriller",English,"['Chloe Guidry', 'Nhedrick Jabier', 'Carmina Garay', 'Billy Slaughter', 'Carli McIntyre', 'Laura Coover', 'Presley Richardson', 'Sean Papajohn', 'Legend Jay Jones']",5.8,2023
10,10,02/14/2023 ,Winnie the Pooh: Blood and Honey,"Horror, Thriller",English,"['Craig David Dowsett', 'Chris Cordell', 'Amber Doig-Thorne', 'Natasha Tosini', 'Maria Taylor', 'Nikolai Leon', 'May Kelly', 'Danielle Ronald', 'Danielle Scott']",5.8,2023
11,11,11-02-2022,The Exorcist,Horror,Spanish,"['María Evoli', 'Diana Bracho', 'Tina Romero', 'Norma Lazareno', 'Pilar Santacruz', 'Salvador Sánchez', 'Julio Bracho', 'Ramón Medína']",5.5,2022
12,12,03/31/2023 ,Murder Mystery 2,"Comedy, Mystery, Action",English,"['Adam Sandler', 'Jennifer Aniston', 'Mark Strong', 'Mélanie Laurent', 'Jodie Turner-Smith', 'John Kani', 'Kuhoo Verma', 'Dany Boon', 'Adeel Akhtar']",6.5,2023
13,13,11-10-2022,Black Panther: Wakanda Forever,"Action, Adventure, Sci-Fi",English,"['Letitia Wright', '""Lupita Nyongo""', 'Danai Gurira', 'Winston Duke', 'Dominique Thorne', 'Tenoch Huerta Mejía', 'Angela Bassett', 'Florence Kasumba', 'Michaela Coel']",7.3,2022
14,14,04-06-2023,The Pope's Exorcist,"Horror, Mystery",English,"['Russell Crowe', 'Daniel Zovatto', 'Alex Essoe', 'Franco Nero', 'Laurel Marsden', 'Cornell John', 'Ralph Ineson', 'River Hawkins', 'Pablo Raybould']",7.2,2023
15,15,07/22/2022 ,Prizefighter: The Life of Jem Belcher,"Drama, History",English,"['Matt Hookings', 'Ray Winstone', 'Jodhi May', 'Marton Csokas', 'Russell Crowe', 'Steven Berkoff', 'Julian Glover']",6.2,2022
16,16,02-02-2023,Knock at the Cabin,"Thriller, Mystery, Horror, Fantasy",English,"['Dave Bautista', 'Jonathan Groff', 'Ben Aldridge', 'Kristen Cui', 'Nikki Amuka-Bird', 'Rupert Grint', 'Abby Quinn', 'Clare Louise Frost', 'McKenna Kerrigan']",6.4,2023
